authorId,authorName,content,waktu
6759175367,pipriy,Ko punya KU kode verifikasi nya ga muncul2 ya mau masuk ke APP nya tapi ga bisa,2020-12-16T04:21:23-07:00
6759175158,&);$,Saat akan mendaftar BRIMo (Transaksi gagal : kode SICX) mohon infonya?,2020-12-16T04:21:18-07:00
6759167003,MAZRI ABDILLAH,"Dari tadi login 
Link dari BRImo akan di kirim ke no handphone anda 
Sampe sekarang ga di kirim kirim 
Payah !",2020-12-16T04:18:07-07:00
6759156060,prandeska,"Kenapa setelah update App BRImo aku gag bisa login lagi, katanya link aktifasi dikirimkan ke nomor anda tapi gag ad sms dr BRI nya, padahal nomor udah benar ,, tolong lah di fix secepatknya",2020-12-16T04:13:57-07:00
6759131049,F Dhani,"Ini kenapa jadi nggak bisa log in abis update ya.,? Stuck di cek inbox terus, ndak bisa masuk...Segera perbaiki",2020-12-16T04:04:21-07:00
6759125846,shiaoojn,aplikasi abis di update malah waktu login suruh masukin kode. tapi kodenya gak dikirim. gimana sih???,2020-12-16T04:02:23-07:00
6759098310,@giantcux,"Apdet terbaru mau login tapi gak bisa, nomor juga sudah teregistrasi, nunggu notif sms OTP utk login 5 menit tidak terkirim-kirim, ulang lagi begitu teruuusss ampe widodo redmi tobat jadi widodo aipon ?",2020-12-16T03:51:49-07:00
6759069118,parahmex,"kenapa skarang sulit skali, saya mau top up saldo shopee kenapa gak bisa di briva di arahkan ke dompet digital tapi gak bisa juga, aplikasi semakin membingungkan, mending versi lama aja",2020-12-16T03:40:04-07:00
6758993801,Syawaludin Soleh,"“Keterangan user anda sedang login pada device lain” 
Laah kok bisa ? Padahal saya tidak melakukan login di perangkat yg lain. Apakah ada yg lain buka ? Knpa bisa tau user dan pin saya ? Tolong pencerahan nya ??",2020-12-16T03:08:30-07:00
6758975272,deewpwee,"Please, tolong tetap support iOS 10 kedepannya ???",2020-12-16T03:00:38-07:00
6758969395,Ichacul,Setelah update terbaru tidak mendapat sms link dr brimo d nomor yg sudah terdaftar. Mohon segera diperbaiki.,2020-12-16T02:58:12-07:00
6758939465,Kanv1309,"Updatean yang terbaru ini aplikasi semakin stabil dan user interface sangat baik dari sebelumnya dan mungkin saat ini aplikasi brimo jadi aplikasi mobile banking terbaik,mantap brimo",2020-12-16T02:46:01-07:00
6758935056,AgusSuprianto,Memang sudah bisa di ios 14 tapi saat mau login tidak menerima sms link udah coba berkali-kali tetep nihil,2020-12-16T02:44:08-07:00
6758836469,dymaskharafi,Setelah update tidak bisa login karena tidak dpt sms untuk membuka linknya,2020-12-16T02:02:23-07:00
6758822683,zhecheva,Plisss update was actually an improvement tapi kenapa malah jadi gabisa login?,2020-12-16T01:57:13-07:00
6758808647,Klmis,"Wah keren updatean terbarunya. Aplikasi semakin mudah digunakan, penambahan firur” yang di ringkas semua menjadi 1.
Nice ?",2020-12-16T01:50:56-07:00
6758802412,sukendar,"Kenapa setelah update brimo, saya tidak mendapat sms link untuk login? 
Sudah saya ulang berkali2 tp tidak ada sms masuk. Padahal versi sblmnya lancar2 saja.",2020-12-16T01:48:17-07:00
6758778176,salsabila rb,Kenapa tibatiba di update gabisa masuk login ke akun saya ???,2020-12-16T01:38:13-07:00
6758740085,Pencahar,nunggu sms link login ga bisa2 sudah coba 3x,2020-12-16T01:22:41-07:00
6758721627,Bojone Mba Dit,"Mau login suruh nunggu sms, smsnya gak masuk2.. gimana ini?",2020-12-16T01:15:14-07:00
6758717398,farizmd13,"Menunggu link ke nomer hp lama banget gak masuk2, mau transaksi jadi harus ke atm",2020-12-16T01:13:30-07:00
6758674771,suryasgr,Mengapa link login tidak terkirim setelah update terbaru,2020-12-16T00:55:50-07:00
6758669194,Ecl93,"Hi developer, Saya baru update app Brimo, lalu mw login di app dan disuruh klik link yg dikirimkan melalui sms tetapi link tsb tidak bisa di klik dan saya mw melakukan transaksi yg penting saat itu tetapi terkendala oleh hal tsb, mohon diperbaiki",2020-12-16T00:53:23-07:00
6758644664,yoga pratama (BALI),"kenapa gangguan terus sih? saya akan ada transaksi untuk perbelanjaan penting! mohon kaji ulasan saya untuk memperbaiki system yg kalian miliki. mohon dengan sangat terlalu banyak yg mengeluh akan hal ini koneksi terputus dan masa waktu habis jangan sampai review ini banyak nasabah yg tertular!  terimakasih BRI !",2020-12-16T00:43:04-07:00
6758642385,makinuddin,“maaf device anda telah di jailbreak” ada yang ngalamin juga? Gimana cara mengatasinya?,2020-12-16T00:42:02-07:00
6758595739,Rifanimarozsan,"Setelah Update terbaru, saya login akun Brimo tidak bisa dan notifikasi SMS untuk Link Login tidak diterima (Masuk), sudah 2 hari tetap sama",2020-12-16T00:22:36-07:00
6758593508,JakFlight,Masih banyak yg harus di perbaiki suka keluar sendiri sering malah. Kaya belum sanggup untuk buat sistem mobile banking,2020-12-16T00:21:42-07:00
6758587255,harus ngisi nama siapa sih,"Kenapa pas log in link yang dikirimkan ke nomor tidak masuk2 , jadi ribett banget abis diperbarui aplikasinya",2020-12-16T00:18:57-07:00
6758531451,tghprynt,"padahal nomor hp di internet banking aktif, tp link loginnya ga masukmasuk sms nya ke no hp saya.",2020-12-15T23:55:19-07:00
6758480464,jemmmmmbbbb,"Link login tidak terkirim di inbox sms sudah dicoba berulang kali, install ulang apps sampe on/off sinyal.
Mohon update lagi applikasinya/perbaiki bugnya.",2020-12-15T23:32:27-07:00
6758404884,narayricoremon,"Kenapa gak bisa login
Katanya kirim link melAlui sms gak muncul udah berkali2",2020-12-15T22:56:46-07:00
6758382776,mhadyans,Kenapa saya ngga dapet sms buat login ke akun bri mobile ya,2020-12-15T22:45:54-07:00
6758378584,youniar,"setelah update susah untuk login, karena link login tidak masuk ke inbox sms",2020-12-15T22:43:58-07:00
6758353741,orchids.id,"Setelah update aplikasi brimo nya kok malah ga bisa login? Link login katanya dikirim ke no hp, cek inbox ga ada inbox masuk. Gimana ini? Telp call center disuruh tunggu 24 jam. Butuhnya sekarang..",2020-12-15T22:31:34-07:00
6758353065,Thangbhoto,"Halo Admin, saya tidak bisa melakukan transaksi setelah upgrade aplikasi. Keterangannya “Cek Inbox, kami mengirimkan link melalui SMS” tapi ga masuk2 juga SMSnya. Tolong di perbaiki kembali min sangat menggangu saya dalam bertransaksi. Terima kasih",2020-12-15T22:31:15-07:00
6758334308,Agas Siwi,kenapa saya tidak mendapatkan sms untuk login Brimo untuk app yang baru,2020-12-15T22:21:59-07:00
6758300038,gwoqvdwiv,g bisa di gunainn gimna,2020-12-15T22:04:36-07:00
6758283109,rzkanf,"Baru kemarin update ke versi 2.0, stelah login nunggu otpnya ga dapet2 smpe hari ini di coba lagi tetap tidak ada sms otp. Mohon bntuannya kenapa?",2020-12-15T21:55:52-07:00
6758279787,jnndh,Link dikirimkan ke nomor hp tp sampe skrg belum menerima link padahal nomor hp udh bener,2020-12-15T21:54:08-07:00
6758264955,user indihome,Versi ini untuk login app ny harus via sms. Ribet. Sms suka lama masuknya. Lebih mudah versi sebelumnya via biometric. Tolong d kembalikan saja pak,2020-12-15T21:46:26-07:00
6758263020,mili ba,"Knp saya tidak bs log in. Pdhal sblm ny g ad masalah, sudah msukin user dan pass, dan sudah klik link yg di kirim ke sms, tp link nya g bs di buka terus",2020-12-15T21:45:25-07:00
6758233565,Aryo Dwi Pangestu,"Setelah saya update brimo v. 2.0.0 kenapa setiap saya buka aplikasi keluar tulisan, device anda telah di jailbreak, padahal hp saya tidak saya jailbreak. Btw saya di ios 14.2. Mohon segera dicek dan diproses. Terimakasih.",2020-12-15T21:30:14-07:00
6758231973,ayuudeka,"Habis di update malah ngga bisa login, nunggu sms, tapi smsnya ngga ada yg masuk ??????????",2020-12-15T21:29:26-07:00
6758214385,Wehasy,Opsi GOPAY nya kok hilang ya? Atau dimana tmpatnya klo di rubah tata letaknya?,2020-12-15T21:20:30-07:00
6758152004,brainer4238,Link login sms tidak dikirimkan. Useless ga bisa login,2020-12-15T20:49:14-07:00
6758138803,Steppppppyyyyy,"Saya bingung kenapa setiap login susah sekali, sering terputus koneksi dan pesan error lainnya.",2020-12-15T20:42:44-07:00
6758119808,pagosmenos,Tolong di perbaiki,2020-12-15T20:33:33-07:00
6758111582,ptrisk,Kok gk dpt sms sih ini udh coba 10 kali tp gk masuk masuk sms buat vrifikasi login nya,2020-12-15T20:29:36-07:00
6758086846,kezia yunis hernowo,"Min, kenapa link yang di kirim di smsnya gak masuk2 ya?",2020-12-15T20:17:34-07:00
6758074878,lrsyy,Banyak kalipun masalah kalian kuliat liat ya. Kemaren aplikasi force closed sekarang kode otp ndak masuk masuk. Masuk pun udah expired. Tolonglah. Jangan buat aku ke bank ya. Prokespun tahapa apa di bank tu tetap aja menumpuk orang,2020-12-15T20:11:55-07:00
